# 기본기 가드·높이·대시 十四士 — 높이: 플래그+P2 act52 · 대시/발동/피해: 플래그 더미 · 가드: CPU 반응 W 4~28 집계(56 서서·60 앉아) · 유불리 = CPU 가드 이탈 − 내 공격/반동 끝(상한) · 2026-09-05
자리	이름	기술	서있는상대	앉은상대	발동	피해	가드집계	유불리
0	幻十郎	서서 A	헛침	헛침	None	0		
0	幻十郎	앉아 A	헛침	헛침	None	0		
0	幻十郎	서서 A홀드	맞음 f18 25	맞음	18	25	{'막힘@56': 1, '헛침': 2, '안나감': 4}	{56: [-12]}
0	幻十郎	앉아 A홀드	맞음 f22 18	맞음	22	18	{'헛침': 1, '안나감': 6}	{}
0	幻十郎	→+A 앞베기	맞음 f16 10	맞음	16	10	{'막힘@56': 1, '헛침': 2, '안나감': 4}	{56: [-8]}
0	幻十郎	앞강베기	맞음 f26 30	맞음	26	30	{'막힘@56': 1, '헛침': 1, '안나감': 2, '맞음@무가드': 3}	{56: [-14]}
0	幻十郎	대시 A	맞음 f22 6	맞음	22	6	{'막힘@56': 2, '맞음@무가드': 2, '안나감': 3}	{56: [-12, -12]}
0	幻十郎	대시 B	맞음 f18 6	맞음	18	6	{'막힘@60': 2, '헛침': 1, '안나감': 3, '맞음@무가드': 1}	{60: [-16, -12]}
0	幻十郎	←B 시동기	맞음 f8 5	맞음	8	5		
0	幻十郎	던지기	맞음 f36 15	맞음	36	15	{'헛침': 3, '맞음@무가드': 1, '안나감': 3}	{}
1	色	서서 A	헛침	헛침	None	0		
1	色	앉아 A	헛침	헛침	None	0		
1	色	서서 A홀드	헛침	헛침	None	0	{'헛침': 3, '맞음@무가드': 2, '안나감': 2}	{}
1	色	앉아 A홀드	맞음 f24 23	맞음	24	23	{'맞음@무가드': 1, '헛침': 2, '안나감': 4}	{}
1	色	→+A 앞베기	맞음 f12 11	맞음	12	11	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
1	色	앞강베기	맞음 f20 31	맞음	20	31	{'헛침': 3, '맞음@무가드': 1, '안나감': 3}	{}
1	色	대시 A	맞음 f22 7	맞음	22	7	{'맞음@무가드': 3, '헛침': 2, '안나감': 2}	{}
1	色	대시 B	맞음 f20 7	맞음	20	7	{'헛침': 5, '안나감': 2}	{}
1	色	←B 시동기	맞음 f4 5	맞음	4	5		
1	色	던지기	맞음 f36 16	맞음	36	16	{'막힘@60': 3, '맞음@무가드': 1, '안나감': 3}	{60: [-20, -18, -18]}
2	아수라	서서 A	맞음 f8 13	맞음	8	13		
2	아수라	앉아 A	맞음 f12 13	맞음	12	13		
2	아수라	서서 A홀드	맞음 f14 25	맞음	14	25	{'막힘@56': 5, '맞음@무가드': 2}	{56: [-14, -12, -12, -12, -12]}
2	아수라	앉아 A홀드	맞음 f22 18	맞음	22	18	{'막힘@60': 6, '헛침': 1}	{60: [-14, -14, -14, -14, -14, -14]}
2	아수라	→+A 앞베기	맞음 f14 8	헛침	14	8	{'막힘@56': 5, '맞음@무가드': 2}	{56: [-6, -6, -6, -6, -6]}
2	아수라	앞강베기	맞음 f26 25	헛침	26	25	{'막힘@56': 7}	{56: [-12, -12, -12, -12, -12, -12, -12]}
2	아수라	대시 A	맞음 f28 6	맞음	28	6	{'맞음@무가드': 7}	{}
2	아수라	대시 B	맞음 f16 6	맞음	16	6	{'막힘@60': 5, '맞음@무가드': 2}	{60: [-8, -8, -8, -8, -8]}
2	아수라	←B 시동기	맞음 f6 5	맞음	6	5		
2	아수라	던지기	맞음 f36 15	맞음	36	15	{'헛침': 3, '맞음@무가드': 2, '안나감': 2}	{}
3	八角泰山	서서 A	맞음 f6 14	맞음	6	14		
3	八角泰山	앉아 A	헛침	헛침	None	0		
3	八角泰山	서서 A홀드	맞음 f18 27	맞음	18	27	{'헛침': 4, '맞음@무가드': 3}	{}
3	八角泰山	앉아 A홀드	맞음 f20 27	맞음	20	27	{'맞음@무가드': 3, '헛침': 4}	{}
3	八角泰山	→+A 앞베기	맞음 f14 11	맞음	14	11	{'헛침': 3, '맞음@무가드': 4}	{}
3	八角泰山	앞강베기	맞음 f22 27	맞음	22	27	{'헛침': 5, '맞음@무가드': 2}	{}
