# ←+B 시동기 체인 十四士 (2026-09-05 · 붙든 더미 · 링크 k 고정 · 게임 버튼)
자리	이름	시동기act	시동기히트f	시동기피해	AAA_acts	AAA_피해열	AAA_합	AAA_링크	ABB_acts	ABB_피해열	ABB_합	ABB_링크	BBB_acts	BBB_피해열	BBB_합	BBB_링크
0	幻十郎	88	8	5	[88, 84, 120, 492, 8]	[5, 2, 3, 3]	13	4	[88, 84, 432, 108, 8]	[5, 2, 9, 14]	30	4	[88, 192, 100, 8]	[5, 2, 1, 1]	9	4
1	色	84	4	5	[84, 92, 100, 136, 8]	[5, 2, 3, 3]	13	4	[84, 92, 88, 108, 8]	[5, 2, 10, 15]	32	4	[84, 116, 140, 112, 8]	[5, 2, 1, 1]	9	4
2	아수라	96	6	5	[96, 88, 84, 96, 8]	[5, 2, 3, 3]	13	4	[96, 88, 108, 104, 8]	[5, 2, 9, 14]	30	4	[96, 116, 108, 112, 8]	[5, 2, 1, 1]	9	4
3	八角泰山	80	4	5	[80, 108, 84, 196, 8]	[5, 2, 3, 3]	13	4	[80, 108, 124, 200, 8]	[5, 2, 10, 15]	32	4	[80, 204, 96, 8]	[5, 2, 1, 1]	9	4
4	覇王丸	84	6	5	[84, 92, 88, 136, 8]	[5, 2, 3, 3]	13	4	[84, 92, 112, 132, 8]	[5, 2, 9, 14]	30	4	[84, 220, 100, 112, 8]	[5, 2, 1, 1]	9	4
5	ガルフォード	136	6	5	[136, 116, 124, 104, 8]	[5, 2, 3, 3]	13	4	[136, 116, 528, 524, 8]	[5, 2, 9, 14]	30	4	[136, 532, 244, 516, 8]	[5, 2, 1, 1]	9	4
6	ナコルル	84	6	5	[84, 96, 104, 116, 8]	[5, 2, 5, 3]	15	4	[84, 96, 92, 108, 8]	[5, 2, 9, 14]	30	4	[84, 120, 96, 112, 8]	[5, 2, 1, 1]	9	4
8	リムルル	116	6	5	[116, 96, 84, 104, 8]	[5, 2, 3, 3]	13	4	[116, 96, 92, 108, 8]	[5, 2, 9, 14]	30	4	[116, 120, 112, 116, 8]	[5, 2, 1, 1]	9	4
9	半蔵	88	4	5	[88, 96, 92, 112, 8]	[5, 2, 3, 3]	13	4	[88, 96, 132, 104, 8]	[5, 2, 9, 13]	29	4	[88, 124, 132, 116, 8]	[5, 2, 1, 1]	9	4
10	十兵衛	80	4	5	[80, 88, 84, 96, 8]	[5, 2, 3, 3]	13	4	[80, 88, 196, 488, 8]	[5, 2, 9, 14]	30	4	[80, 456, 460, 104, 8]	[5, 2, 1, 1]	9	4
11	蒼月	116	4	5	[116, 160, 124, 132, 8]	[5, 2, 3, 3]	13	4	[116, 160, 120, 148, 8]	[5, 2, 9, 15]	31	4	[116, 160, 144, 192, 8]	[5, 2, 1, 1]	9	4
12	シャルロット	80	4	5	[80, 88, 108, 84, 8]	[5, 2, 3, 3]	13	4	[80, 88, 92, 104, 8]	[5, 2, 10, 15]	32	4	[80, 120, 124, 96, 8]	[5, 2, 1, 1]	9	4
13	火月	120	4	5	[120, 160, 116, 132, 8]	[5, 2, 3, 3]	13	4	[120, 160, 124, 140, 8]	[5, 2, 9, 15]	31	4	[120, 116, 160, 144, 8]	[5, 2, 1, 1]	9	4
14	右京	80	4	5	[80, 124, 96, 200, 8]	[5, 2, 3, 3]	13	4	[80, 124, 88, 108, 8]	[5, 2, 9, 14]	30	4	[80, 88, 124, 96, 8]	[5, 2, 1, 1]	9	4
