# ④ 곁 기술 재발견 — 거리 16 · known 에서 던지기·밀기 제외 · 2026-09-05
자리	이름	입력	acts	히트	피해	타수	전체	표시
0	幻十郎	↓↘→+A	[432]	[(16, 5)]	5	1	6	★새
0	幻十郎	→↓↘+A	[420, 56]	[(12, 5), (28, 22)]	27	2	4	(기존)
0	幻十郎	→↓↘+B	[448, 452, 464, 468, 56]	[(90, 30)]	30	1	4	(기존)
0	幻十郎	↓↙←+A	[424]	[(22, 13)]	13	1	6	(기존)
1	色	↓↘→+A	[564]	[(16, 14)]	14	1	6	(기존)
1	色	↓↘→+B	[24, 0, 56]	[]	0	0	58	(기존)
1	色	→↓↘+A	[440, 56]	[(10, 9), (22, 18)]	27	2	4	(기존)
1	色	→↓↘+B	[456, 460]	[(44, 16)]	16	1	4	(기존)
1	色	←↓↙+B	[452]	[(48, 14), (112, 16)]	30	2	4	(기존)
1	色	↓→+A	[240, 316]	[(10, 11)]	11	1	4	★새
2	아수라	↓↘→+A	[432]	[(14, 13)]	13	1	6	(기존)
2	아수라	→↓↘+A	[440]	[(18, 21)]	21	1	4	(기존)
2	아수라	←↓↙+A	[436]	[(18, 17), (56, 9)]	26	2	4	(기존)
2	아수라	←↓↙+B	[448]	[]	0	0	4	(기존)
3	八角泰山	↓↘→+A	[420, 476]	[(22, 14), (98, 18)]	32	2	6	(기존)
3	八角泰山	→↓↘+A	[424, 428, 476]	[(34, 14), (94, 18)]	32	2	4	(기존)
3	八角泰山	←↓↙+A	[432]	[(14, 5), (30, 16)]	21	2	4	(기존)
3	八角泰山	→↓←+A	[420]	[(22, 9), (92, 8)]	17	2	4	(기존)
4	覇王丸	↓↘→+A	[444, 448]	[(18, 5), (80, 7)]	12	2	6	(기존)
4	覇王丸	→↓↘+A	[436, 440, 56]	[(12, 18), (40, 7)]	25	2	4	(기존)
4	覇王丸	→↓↘+B	[468, 192]	[(76, 15), (106, 20)]	35	2	4	(기존)
4	覇王丸	↓↙←+B	[464]	[(28, 13)]	13	1	72	(기존)
4	覇王丸	←↓↙+A	[456, 460]	[(28, 17)]	17	1	4	(기존)
5	ガルフォード	↓↘→+A	[272, 328, 296, 236]	[(18, 13)]	13	1	6	★새
6	ナコルル	→↓↘+A	[424]	[(14, 25)]	25	1	4	(기존)
6	ナコルル	→↓↘+B	[432, 436, 200, 444, 440, 56]	[(26, 6), (54, 5), (64, 13), (106, 6)]	30	4	4	(기존)
6	ナコルル	↓↙←+B	[252]	[(14, 5)]	5	1	6	★새
6	ナコルル	←↓↙+A	[416]	[(16, 13)]	13	1	4	(기존)
6	ナコルル	←↙↓↘→+A	[420]	[(20, 17)]	17	1	4	(기존)
8	リムルル	↓↘→+A	[416]	[(18, 17)]	17	1	6	(기존)
8	リムルル	→↓↘+A	[420]	[(20, 13)]	13	1	4	(기존)
8	リムルル	→↓↘+B	[444, 448, 472, 452, 24, 448, 472, 452, 24, 448, 472, 452, 24, 448]	[(112, 17), (118, 15)]	32	2	4	(기존)
8	リムルル	↓↙←+A	[436, 424]	[(18, 2), (28, 2), (38, 2), (48, 1)]	11	8	6	(기존)
9	半蔵	↓↘→+A	[392]	[(16, 8)]	8	1	6	(기존)
9	半蔵	→↓↘+B	[400, 0, 0, 0, 0, 0, 0, 0, 0]	[(18, 17)]	17	1	4	(기존)
9	半蔵	↓↙←+A	[400]	[(16, 12)]	12	1	6	(기존)
9	半蔵	↓↙←+B	[404, 60, 364]	[(16, 5), (90, 24)]	29	2	40	(기존)
9	半蔵	↓→+A	[176, 180]	[(12, 12)]	12	1	4	★새
10	十兵衛	↓↘→+A	[416, 420]	[(18, 13)]	13	1	6	(기존)
10	十兵衛	→↓↘+A	[424, 428, 432]	[(12, 2), (26, 2), (48, 16), (72, 3)]	23	4	4	(기존)
10	十兵衛	↓↙←+A	[436, 488]	[]	0	0	6	(기존)
11	蒼月	↓↘→+A	[540]	[(16, 18)]	18	1	74	(기존)
11	蒼月	→↓↘+A	[536, 532]	[(18, 18)]	18	1	4	(기존)
11	蒼月	↓↙←+A	[548, 0, 552]	[]	0	0	66	(기존)
11	蒼月	↓→+A	[368, 324, 276]	[(10, 10)]	10	1	4	(기존)
12	シャルロット	↓↘→+A	[424, 428]	[(48, 16)]	16	1	6	(기존)
12	シャルロット	→↓↘+A	[416, 420]	[(12, 23), (34, 8), (42, 3)]	34	3	4	(기존)
13	火月	↓↘→+A	[528]	[(20, 14)]	14	1	54	(기존)
13	火月	→↓↘+A	[532]	[(48, 22)]	22	1	4	(기존)
13	火月	↓↙←+B	[536]	[]	0	0	64	(기존)
13	火月	←↓↙+B	[548]	[]	0	0	4	(기존)
14	右京	→↓↘+B	[448, 424, 428, 472]	[(114, 22)]	22	1	4	(기존)
14	右京	↓↙←+A	[424, 428, 440, 432, 440, 436, 440, 432, 440, 428, 440, 472]	[(18, 2), (32, 5), (46, 2), (60, 3)]	18	5	6	(기존)
14	右京	↓↙←+B	[424]	[]	0	0	34	(기존)
14	右京	→↓←+B	[444]	[]	0	0	4	(기존)
