# 플래그 더미(0x1CC7=0) 十四士 — A홀드 · 앞강베기(→+A 홀드, 떨어져서) · 잡기(→+A 홀드 밀착) · 2026-09-05 · 게임 버튼
# 칸 = 발동/후경직/상대경직(다운=220f 안 복귀 없음)/피해×타수 · 리치 = 앞강베기가 맞는 최대 거리(누른 순간 P1·P2 거리)
자리	이름	A홀드_위상0	A홀드_위상1	A홀드acts	앞강베기_리치	앞강베기_거리48	앞강베기_위상1	앞강베기acts	잡기P2흐름	잡기피해
0	幻十郎	18/64/68/25×1	19/64/68/25×1	[8, 100]	72	26/74/다운/30×1	27/74/190/30×1	[28, 104, 108]	[8, 212, 268, 212, 40]	0
1	色	16/98/102/31×2	17/98/102/31×2	[8, 100]	72	20/100/228/31×2	21/100/172/31×2	[28, 104, 108]	[8, 252, 308, 252, 44]	0
2	아수라	14/66/68/25×1	15/66/68/25×1	[8, 96]	88	26/72/124/25×1	27/72/216/25×1	[28, 100, 104]	[8, 204, 260, 204, 44]	0
3	八角泰山	18/64/68/27×1	19/64/68/27×1	[8, 96]	80	22/68/162/27×1	23/68/194/27×1	[28, 100, 104]	[8, 252, 308, 252, 44]	0
4	覇王丸	16/76/68/25×1	17/76/68/25×1	[8, 100]	88	24/76/150/30×1	25/76/150/30×1	[28, 104, 108]	[8, 204, 260, 204, 44]	0
5	ガルフォード	16/62/68/25×1	17/62/68/25×1	[8, 104]	72	22/70/108/25×1	23/70/194/25×1	[28, 108, 112]	[8, 204, 260, 204, 44]	0
6	ナコルル	20/62/68/25×1	21/62/68/25×1	[8, 104]	72	20/104/140/24×2	21/104/140/24×2	[28, 108, 8]	[8, 204, 260, 204, 44]	0
8	リムルル	14/76/68/21×1	15/76/68/21×1	[8, 104]	80	24/76/188/25×1	25/76/170/25×1	[28, 108, 8]	[8, 212, 268, 212, 40]	0
9	半蔵	18/58/68/24×1	19/58/68/24×1	[8, 104]	80	18/70/148/24×1	19/70/130/24×1	[28, 108, 112]	[8, 200, 256, 200, 44]	0
10	十兵衛	14/68/68/25×1	15/68/68/25×1	[8, 96]	72	24/76/108/30×1	25/76/194/30×1	[28, 100, 104]	[8, 212, 268, 212, 40]	0
11	蒼月	18/66/68/26×1	19/66/68/26×1	[8, 132]	88	20/64/다운/26×1	21/64/108/26×1	[36, 136, 140]	[8, 208, 264, 208, 44]	0
12	シャルロット	14/60/44/19×1	15/60/44/19×1	[8, 96]	72	22/94/100/29×2	23/94/100/29×2	[28, 100, 104]	[8, 252, 308, 252, 44]	0
13	火月	16/62/68/26×1	17/62/68/26×1	[8, 132]	72	24/70/208/26×1	25/70/190/26×1	[36, 136, 140]	[8, 200, 256, 200, 44]	0
14	右京	14/68/68/25×1	15/68/68/25×1	[8, 96]	88	18/66/108/25×1	19/66/194/25×1	[28, 100, 104]	[8, 204, 260, 204, 44]	0
