# ★ 자세 열 «걷다» = →+A(앞베기) 커맨드 기본기 (유저 확인 2026-09-05 — 처음엔 자세 변종으로 오독). «걷다 A홀드» 줄은 R 을 놓고 눌러 앞+강베기가 «안 나온» 판 — 재측정 예정.
# SS2 기본기 프레임 표 — 十五士 (2026-09-05 실측 · 순정 롬 · 1P 모드 보통 CPU · 순간이동 더미)
# 더미: live(R 쥔 채 P1 X 0x19D6 가 처음 움직이는 f)에서 P1 X 를 P2 X−거리 로 한 번 박고, P2 X(0x1BD6) 는 지속 poke 로 붙듦. 대기 0/4/8 × 거리 40/32/24/16 사다리 → «히트 직전 P2 act 8» 인 판만 받음.
# 상대는 CPU 가 정한다(P2 = 램 0x1D51 값 · 같은 값 = 같은 상대). 상대경직·유불리는 P2 가 같은 줄끼리만 댄다. 黒子(7)는 대전 없음.
# 발동 = 누름→첫 히트 · 후경직 = 첫 히트→내 act 8 · 상대경직 = 첫 히트→P2 act 8 · 유불리 = 상대경직−후경직 · 위상1 은 발동 +1 이 정상이라 ±1 은 일치로 봄.
# ★ 버튼은 게임 기준으로 적는다: A = 베기 · B = 회피 (하네스 토큰은 반대 — 토큰 B = 게임 A). 게임 B(act 168·72·76·184)는 공격이 아니라 «회피»: 07 레코드 없음 · 피해 0 · 피격 4~12f 전 입력이면 그 공격을 안 맞는다 (2026-09-05 실측).
# 상태: 측정 = 두 위상 일치 · 반측정 = 위상0 만 맞음(위상1 은 CPU 가 막음) · 미측정 = 대기 0~12 × 거리 48~16 다 CPU 가 막음(56) · 이상 = 위상1 피해가 다름(十兵衛 홀드 25 vs 40, 위상2 로 재기 전엔 ?)
# 비고: 위상1 a/b/c = 위상1 의 발동/피해/타수 · 거리n = 40 에서 안 닿아 좁힘(관문 통과, 측정으로 침)
자리	이름	P2	기술	자세	리치	act	발동	후경직	상대경직	유불리	피해	타수	상태	비고
0	幻十郎	160	A탭	서서	36	84	8	30	32	+2	13	1	측정	거리32
0	幻十郎	160	A탭	→+A	60	88	10	38	32	-6	10	1	측정	
0	幻十郎	160	A홀드	서서		100	18	64	68	+4	25	1	측정	더미v2(0x1CC7) · 위상2 일치
0	幻十郎	160	A홀드	→+A		100	18	64	68	+4	25	1	측정	더미v2(0x1CC7) · 위상2 일치 · R 놓고 쥠 = 서서 홀드와 같은 act
1	色	120	A탭	서서	36	84	6	34	32	-2	14	1	측정	거리32
1	色	120	A탭	→+A	59	88	6	38	32	-6	11	1	측정	
1	色	120	A홀드	서서		100	16	98	102	+4	31	2	측정	위상1 실패 거리32 · 더미v2 재측정 위상2 일치
1	色	120	A홀드	→+A		100	16	98	102	+4	31	2	측정	위상1 실패 · 더미v2 재측정 위상2 일치
2	아수라	192	A탭	서서	44	80	8	34	32	-2	13	1	측정	
2	아수라	192	A탭	→+A	65	84	8	40	32	-8	8	1	측정	
2	아수라	192	A홀드	서서		96	14	66	68	+2	25	1	측정	
2	아수라	192	A홀드	→+A		96	14	66	68	+2	25	1	측정	
3	八角泰山	120	A탭	서서	40	80	6	34	32	-2	14	1	측정	
3	八角泰山	120	A탭	→+A	60	84	8	40	32	-8	11	1	측정	
3	八角泰山	120	A홀드	서서		96	18	64	68	+4	27	1	측정	더미v2(0x1CC7) · 위상2 일치
3	八角泰山	120	A홀드	→+A		96	18	64	68	+4	27	1	측정	더미v2(0x1CC7) · 위상2 일치 · R 놓고 쥠 = 서서 홀드와 같은 act
4	覇王丸	192	A탭	서서	52	84	8	34	32	-2	13	1	측정	
4	覇王丸	192	A탭	→+A	60	88	8	38	32	-6	10	1	측정	
4	覇王丸	192	A홀드	서서		100	16	76	68	-8	25	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
4	覇王丸	192	A홀드	→+A		100	16	76	68	-8	25	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
5	ガルフォード	192	A탭	서서	36	88	6	34	32	-2	17	1	측정	거리32
5	ガルフォード	192	A탭	→+A	51	92	10	40	32	-8	13	1	측정	
5	ガルフォード	192	A홀드	서서		104	16	62	68	+6	25	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
5	ガルフォード	192	A홀드	→+A		104	16	62	68	+6	25	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
6	ナコルル	192	A탭	서서	40	84	8	34	32	-2	13	1	측정	
6	ナコルル	192	A탭	→+A	47	88	16	42	32	-10	10	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
6	ナコルル	192	A홀드	서서		104	20	62	68	+6	25	1	측정	더미v2(0x1CC7) · 위상2 일치
6	ナコルル	192	A홀드	→+A		104	20	62	68	+6	25	1	측정	더미v2(0x1CC7) · 위상2 일치 · R 놓고 쥠 = 서서 홀드와 같은 act
8	リムルル	160	A탭	서서	40	84	8	32	32	+0	13	1	측정	
8	リムルル	160	A탭	→+A	43	88	16	40	32	-8	10	1	측정	위상1 실패 · 더미v2 재측정 위상2 일치
8	リムルル	160	A홀드	서서		104	14	76	68	-8	21	1	측정	
8	リムルル	160	A홀드	→+A		104	14	76	68	-8	21	1	측정	
9	半蔵	144	A탭	서서	44	88	6	32	32	+0	12	1	측정	
9	半蔵	144	A탭	→+A	48	92	8	36	32	-4	12	1	측정	
9	半蔵	144	A홀드	서서		104	18	58	68	+10	24	1	측정	더미v2(0x1CC7) · 위상2 일치
9	半蔵	144	A홀드	→+A		104	18	58	68	+10	24	1	측정	더미v2(0x1CC7) · 위상2 일치 · R 놓고 쥠 = 서서 홀드와 같은 act
