# →+B 조사 — 리치(누른 순간 P1·P2 거리 중 맞는 최대) · 순간이동 더미 · 2026-09-05
자리	이름	기술	act	리치	발동	피해	첫빗나감거리
0	幻十郎	서서B	84	36	8	13	40
0	幻十郎	→+B	88	60	10	10	64
1	色	서서B	84	36	6	14	40
1	色	→+B	88	59	8	11	63
2	아수라	서서B	80	44	8	13	48
2	아수라	→+B	84	65	10	8	69
3	八角泰山	서서B	80	40	6	14	44
3	八角泰山	→+B	84	60	8	11	64
4	覇王丸	서서B	84	52	8	13	56
4	覇王丸	→+B	88	60	8	10	64
5	ガルフォード	서서B	88	36	6	17	40
5	ガルフォード	→+B	92	51	10	13	55
6	ナコルル	서서B	84	40	8	13	44
6	ナコルル	→+B	88	47	16	10	51
8	リムルル	서서B	84	40	8	13	44
8	リムルル	→+B	88	43	16	10	47
9	半蔵	서서B	88	44	6	12	48
9	半蔵	→+B	92	48	8	12	52
10	十兵衛	서서B	80	40	6	13	44
10	十兵衛	→+B	84	60	8	13	64
11	蒼月	서서B	116	32	6	10	36
11	蒼月	→+B	120	56	8	10	60
12	シャルロット	서서B	80	40	6	14	44
12	シャルロット	→+B	84	69	8	11	73
13	火月	서서B	116	32	6	10	36
13	火月	→+B	120	56	6	10	60
14	右京	서서B	80	44	6	13	48
14	右京	→+B	84	56	6	13	60
