# →+A 홀드(앞강베기) 十四士 (2026-09-05 · 붙든 더미 · R 쥔 채 12f 홀드 · 게임 버튼) — 리치 = 맞는 최대 거리, 프레임은 가장 가까운 깨끗한 히트(P2 act 8)
자리	이름	진입	acts	리치	거리	발동	후경직	상대경직	유불리	피해	타수	위상1
0	幻十郎	제자리	[28, 104, 108, 68]									안맞음
0	幻十郎	걷다	[28, 104, 108, 68]									안맞음
1	色	제자리	[28, 104, 108, 68]									안맞음
1	色	걷다	[28, 104, 108, 68]									안맞음
2	아수라	제자리	[28, 100, 104, 64]									안맞음
2	아수라	걷다	[28, 100, 104, 64]									안맞음
3	八角泰山	제자리	[28, 100, 104, 8]									안맞음
3	八角泰山	걷다	[28, 100, 104, 8]									안맞음
4	覇王丸	제자리	[28, 104, 108, 232]									안맞음
4	覇王丸	걷다	[28, 104, 108, 232]									안맞음
5	ガルフォード	제자리	[28, 108, 112, 8]									안맞음
5	ガルフォード	걷다	[28, 108, 112, 8]									안맞음
6	ナコルル	제자리	[28, 108, 68, 8]									안맞음
6	ナコルル	걷다	[28, 108, 68, 8]									안맞음
8	リムルル	제자리	[28, 108, 68, 8]									안맞음
8	リムルル	걷다	[28, 108, 68, 8]									안맞음
9	半蔵	제자리	[28, 108, 112, 72]									안맞음
9	半蔵	걷다	[28, 108, 112, 72]									안맞음
10	十兵衛	제자리	[28, 100, 104, 64]									안맞음
10	十兵衛	걷다	[28, 100, 104, 64]									안맞음
11	蒼月	제자리	[36, 136, 140, 84]									안맞음
11	蒼月	걷다	[36, 136, 140, 84]									안맞음
12	シャルロット	제자리	[28, 100, 104, 64]									안맞음
12	シャルロット	걷다	[28, 100, 104, 64]									안맞음
13	火月	제자리	[36, 136, 140, 84]									안맞음
13	火月	걷다	[36, 136, 140, 84]									안맞음
14	右京	제자리	[28, 100, 104, 128]									안맞음
14	右京	걷다	[28, 100, 104, 128]									안맞음
