# 가드 표 — CPU 반응 가드(56 서서 · 60 앉아) · W 4~28 7회 집계 · 2026-09-05 · 유불리 = CPU 가 가드를 떠나는 f − 내 공격/반동 act 끝 f (CPU 가 가드를 더 오래 쥘 수 있어 상한)
이름	기술	집계	유불리
覇王丸	서서 A홀드	{'헛침@무가드': 1, '막힘@56(반동없음)': 6}	vs56 [-46, -14, -14, -14, -14, -14]
覇王丸	앉아 A홀드	{'막힘@56': 5, '막힘@56(반동없음)': 2}	vs56 [-78, -78, -14, -14, -10, -10, -10]
覇王丸	앞강베기	{'헛침@무가드': 1, '막힘@56': 6}	vs56 [-84, -80, -14, -14, -14, -14]
覇王丸	대시 A	{'헛침@무가드': 1, '막힘@56(반동없음)': 4, '맞음@무가드': 2}	vs56 [-14, -14, -14, -8]
覇王丸	대시 B	{'헛침@무가드': 1, '막힘@60(반동없음)': 3, '맞음@무가드': 2, '맞음@56': 1}	vs60 [2, 2, 2]
覇王丸	→+A 앞베기	{'헛침@무가드': 1, '맞음@무가드': 2, '막힘@56': 3, '맞음@56': 1}	vs56 [-8, -8, -8]
覇王丸	던지기	{'맞음@무가드': 3, '헛침@무가드': 2, '안나감': 2}	
아수라	서서 A홀드	{'막힘@56': 4, '맞음@무가드': 2, '막힘@56(반동없음)': 1}	vs56 [-14, -12, -12, -12, -12]
아수라	앉아 A홀드	{'막힘@60': 6, '헛침@무가드': 1}	vs60 [-14, -14, -14, -14, -14, -14]
아수라	앞강베기	{'막힘@56': 7}	vs56 [-12, -12, -12, -12, -12, -12, -12]
아수라	대시 A	{'맞음@무가드': 7}	
아수라	대시 B	{'막힘@60(반동없음)': 5, '맞음@무가드': 2}	vs60 [-8, -8, -8, -8, -8]
아수라	→+A 앞베기	{'막힘@56': 5, '맞음@무가드': 2}	vs56 [-6, -6, -6, -6, -6]
아수라	던지기	{'헛침@무가드': 3, '맞음@무가드': 2, '안나감': 2}	
