# 판정 높이 — 覇王丸 · 앉은 더미 = 플래그 + P2 act 52 지속(48 은 전환 프레임이라 판정 이상 · 60 은 얼음) · 2026-09-05
기술	서있는 상대	앉은 상대
서서 A	맞음 f8 13	맞음 f8 13
앉아 A	맞음 f14 13	맞음 f14 13
서서 A홀드	맞음 f16 25	맞음 f16 25
앉아 A홀드	맞음 f22 21	맞음 f22 21
→+A 앞베기	맞음 f14 10	맞음 f14 10
앞강베기	맞음 f24 30	맞음 f24 30
대시 A	맞음 f30 6	헛침
대시 B	맞음 f16 6	맞음 f16 6
앞점프 A 8f	헛침	헛침
앞점프 A 12f	헛침	헛침
앞점프 A 20f	헛침	헛침
앞점프 B 8f	헛침	헛침
앞점프 B 16f	헛침	헛침
앞점프 B 24f	헛침	헛침
←B 시동기	맞음 f6 5	맞음 f6 5
체인 A·A·A	맞음 f6 5+2+3+3	맞음 f6 5+2+3+3
체인 A·B·B	맞음 f6 5+2+9+14	맞음 f6 5+2+9+14
체인 B·B·B	맞음 f6 5+2+1+1	맞음 f6 5+2+1+1
던지기 ←A홀드	맞음 f36 15	맞음 f36 15
잡고밀기 →A홀드	헛침	헛침
