# 높이 열 보강 — P2≠192 상대의 앉기 act(스샷으로 고름: 160→52·176→52·56→48·144→36) · 서서 A 가 앉은 상대에 맞아야 유효 · 2026-09-05
자리	이름	앉기act	기술	서있음	앉음	유효
8	リムルル	52	서서 A	맞음	맞음	유효
8	リムルル	52	앉아 A	맞음	맞음	유효
8	リムルル	52	서서 A홀드	맞음	맞음	유효
8	リムルル	52	앉아 A홀드	맞음	맞음	유효
8	リムルル	52	→+A 앞베기	맞음	맞음	유효
8	リムルル	52	앞강베기	맞음	맞음	유효
8	リムルル	52	대시 A	맞음	맞음	유효
8	リムルル	52	대시 B	맞음	맞음	유효
8	リムルル	52	←B 시동기	맞음	맞음	유효
8	リムルル	52	던지기	맞음	맞음	유효
9	半蔵	36	서서 A	맞음	헛침	무효
9	半蔵	36	앉아 A	맞음	헛침	무효
9	半蔵	36	서서 A홀드	헛침	헛침	무효
9	半蔵	36	앉아 A홀드	맞음	헛침	무효
9	半蔵	36	→+A 앞베기	맞음	헛침	무효
9	半蔵	36	앞강베기	맞음	헛침	무효
9	半蔵	36	대시 A	맞음	헛침	무효
9	半蔵	36	대시 B	맞음	맞음	무효
9	半蔵	36	←B 시동기	맞음	헛침	무효
9	半蔵	36	던지기	맞음	헛침	무효
10	十兵衛	52	서서 A	맞음	맞음	유효
10	十兵衛	52	앉아 A	맞음	헛침	유효
10	十兵衛	52	서서 A홀드	맞음	맞음	유효
10	十兵衛	52	앉아 A홀드	맞음	맞음	유효
10	十兵衛	52	→+A 앞베기	맞음	맞음	유효
10	十兵衛	52	앞강베기	맞음	맞음	유효
10	十兵衛	52	대시 A	맞음	맞음	유효
10	十兵衛	52	대시 B	맞음	헛침	유효
10	十兵衛	52	←B 시동기	맞음	맞음	유효
10	十兵衛	52	던지기	맞음	맞음	유효
11	蒼月	52	서서 A	맞음	헛침	무효
11	蒼月	52	앉아 A	맞음	헛침	무효
11	蒼月	52	서서 A홀드	맞음	헛침	무효
11	蒼月	52	앉아 A홀드	맞음	헛침	무효
11	蒼月	52	→+A 앞베기	맞음	헛침	무효
11	蒼月	52	앞강베기	맞음	맞음	무효
11	蒼月	52	대시 A	맞음	헛침	무효
11	蒼月	52	대시 B	맞음	헛침	무효
11	蒼月	52	←B 시동기	맞음	헛침	무효
11	蒼月	52	던지기	맞음	헛침	무효
13	火月	48	서서 A	맞음	맞음	유효
13	火月	48	앉아 A	맞음	맞음	유효
13	火月	48	서서 A홀드	맞음	맞음	유효
13	火月	48	앉아 A홀드	헛침	헛침	유효
13	火月	48	→+A 앞베기	맞음	맞음	유효
13	火月	48	앞강베기	맞음	맞음	유효
13	火月	48	대시 A	맞음	맞음	유효
13	火月	48	대시 B	맞음	헛침	유효
13	火月	48	←B 시동기	맞음	맞음	유효
13	火月	48	던지기	맞음	맞음	유효
1	色	144	서서 A	맞음	헛침	무효(앉기 미확인)
1	色	144	앉아 A	맞음	헛침	무효(앉기 미확인)
1	色	144	서서 A홀드	헛침	헛침	무효(앉기 미확인)
1	色	144	앉아 A홀드	맞음	헛침	무효(앉기 미확인)
1	色	144	→+A 앞베기	맞음	헛침	무효(앉기 미확인)
1	色	144	앞강베기	맞음	헛침	무효(앉기 미확인)
1	色	144	대시 A	맞음	헛침	무효(앉기 미확인)
1	色	144	대시 B	맞음	헛침	무효(앉기 미확인)
1	色	144	←B 시동기	맞음	헛침	무효(앉기 미확인)
1	色	144	던지기	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	서서 A	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	앉아 A	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	서서 A홀드	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	앉아 A홀드	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	→+A 앞베기	맞음	헛침	무효(앉기 미확인)
3	八角泰山	144	앞강베기	맞음	헛침	무효(앉기 미확인)
