# SS2 서서 약베기 회복 다이얼 — 바이트 기록 (순정 롬 기준 · 서서 B탭 레코드의 히트 뒤 틱)
단계	자리	이름	오프셋	원본	새
−2	0	幻十郎	0x0DD498	5	4
−2	1	色	0x0E9442	7	6
−2	2	아수라	0x0E35AC	7	6
−2	3	八角泰山	0x0E5BB4	7	6
−2	4	覇王丸	0x0DC3A0	7	6
−2	5	ガルフォード	0x0E20F8	7	6
−2	6	ナコルル	0x0DEAFE	7	6
−2	8	リムルル	0x0DFC90	5	4
−2	9	半蔵	0x0E0F7A	7	6
−2	10	十兵衛	0x0E820A	7	6
−2	11	蒼月	0x0DAF46	7	6
−2	12	シャルロット	0x0E48A6	7	6
−2	13	火月	0x0D9976	7	6
−2	14	右京	0x0E70D4	5	4
−4	0	幻十郎	0x0DD498	5	3
−4	1	色	0x0E9442	7	5
−4	2	아수라	0x0E35AC	7	5
−4	3	八角泰山	0x0E5BB4	7	5
−4	4	覇王丸	0x0DC3A0	7	5
−4	5	ガルフォード	0x0E20F8	7	5
−4	6	ナコルル	0x0DEAFE	7	5
−4	8	リムルル	0x0DFC90	5	3
−4	9	半蔵	0x0E0F7A	7	5
−4	10	十兵衛	0x0E820A	7	5
−4	11	蒼月	0x0DAF46	7	5
−4	12	シャルロット	0x0E48A6	7	5
−4	13	火月	0x0D9976	7	5
−4	14	右京	0x0E70D4	5	3
−6	0	幻十郎	0x0DD498	5	2
−6	1	色	0x0E9442	7	4
−6	2	아수라	0x0E35AC	7	4
−6	3	八角泰山	0x0E5BB4	7	4
−6	4	覇王丸	0x0DC3A0	7	4
−6	5	ガルフォード	0x0E20F8	7	4
−6	6	ナコルル	0x0DEAFE	7	4
−6	8	リムルル	0x0DFC90	5	2
−6	9	半蔵	0x0E0F7A	7	4
−6	10	十兵衛	0x0E820A	7	4
−6	11	蒼月	0x0DAF46	7	4
−6	12	シャルロット	0x0E48A6	7	4
−6	13	火月	0x0D9976	7	4
−6	14	右京	0x0E70D4	5	2
−8	0	幻十郎	0x0DD498	5	1
−8	1	色	0x0E9442	7	3
−8	2	아수라	0x0E35AC	7	3
−8	3	八角泰山	0x0E5BB4	7	3
−8	4	覇王丸	0x0DC3A0	7	3
−8	5	ガルフォード	0x0E20F8	7	3
−8	6	ナコルル	0x0DEAFE	7	3
−8	8	リムルル	0x0DFC90	5	1
−8	9	半蔵	0x0E0F7A	7	3
−8	10	十兵衛	0x0E820A	7	3
−8	11	蒼月	0x0DAF46	7	3
−8	12	シャルロット	0x0E48A6	7	3
−8	13	火月	0x0D9976	7	3
−8	14	右京	0x0E70D4	5	1
