# SS2 서서 약베기 회복 다이얼 — 전후 표 (2026-09-05 이식소 · 순간이동 더미 · 위상 2)
# 단계 = 깎는 프레임(2f/틱). 연결 열 = 최속 후속의 2타가 떨어질 때 P2 act (피격중 = 200번대 = 상대 중립 전에 닿음 = 연결 생김)
자리	이름	단계	위상0	위상1	이어B탭	이어B홀드	이어파동권	관문
0	幻十郎	0	8/30/32/13×1	9/30/32/13×1	2타 f74(P2 160)	2타 없음		
0	幻十郎	-2	8/28/32/13×1	9/28/32/13×1	2타 f44(P2 8)	2타 없음		✓
0	幻十郎	-4	8/26/32/13×1	9/26/32/13×1	2타 f44(P2 8)	2타 없음		✓
0	幻十郎	-6	8/24/32/13×1	9/24/32/13×1	2타 f40(P2 212 피격중)	2타 없음		✓
0	幻十郎	-8	8/22/32/13×1	9/22/32/13×1	2타 f40(P2 212 피격중)	2타 없음		✓
1	色	0	6/34/32/14×1	7/34/32/14×1	2타 f46(P2 8)	2타 f62(P2 48)		
1	色	-2	6/32/32/14×1	7/32/32/14×1	2타 f46(P2 8)	2타 없음		✓
1	色	-4	6/30/32/14×1	7/30/32/14×1	2타 f42(P2 8)	2타 없음		✓
1	色	-6	6/28/32/14×1	7/28/32/14×1	2타 f42(P2 8)	2타 없음		✓
1	色	-8	6/26/32/14×1	7/26/32/14×1	2타 f38(P2 252 피격중)	2타 없음		✓
2	아수라	0	8/34/32/13×1	9/34/32/13×1	2타 f52(P2 48)	2타 f60(P2 48)	2타 f34(P2 212 피격중)	
2	아수라	-2	8/32/32/13×1	9/32/32/13×1	2타 없음	2타 f60(P2 48)	2타 f34(P2 212 피격중)	✓
2	아수라	-4	8/30/32/13×1	9/30/32/13×1	2타 없음	2타 없음	2타 f34(P2 212 피격중)	✓
2	아수라	-6	8/28/32/13×1	9/28/32/13×1	2타 f44(P2 8)	2타 없음	2타 f34(P2 212 피격중)	✓
2	아수라	-8	8/26/32/13×1	9/26/32/13×1	2타 f44(P2 8)	2타 없음	2타 f34(P2 212 피격중)	✓
3	八角泰山	0	6/34/32/14×1	7/34/32/14×1	2타 f46(P2 32)	2타 없음		
3	八角泰山	-2	6/32/32/14×1	7/32/32/14×1	2타 f46(P2 32)	2타 없음		✓
3	八角泰山	-4	6/30/32/14×1	7/30/32/14×1	2타 f42(P2 8)	2타 없음		✓
3	八角泰山	-6	6/28/32/14×1	7/28/32/14×1	2타 f42(P2 8)	2타 없음		✓
3	八角泰山	-8	6/26/32/14×1	7/26/32/14×1	2타 f38(P2 252 피격중)	2타 없음		✓
4	覇王丸	0	8/34/32/13×1	9/34/32/13×1	2타 없음	2타 없음		
4	覇王丸	-2	8/32/32/13×1	9/32/32/13×1	2타 없음	2타 없음		✓
4	覇王丸	-4	8/30/32/13×1	9/30/32/13×1	2타 없음	2타 없음		✓
4	覇王丸	-6	8/28/32/13×1	9/28/32/13×1	2타 f44(P2 8)	2타 없음		✓
4	覇王丸	-8	8/26/32/13×1	9/26/32/13×1	2타 f44(P2 8)	2타 없음		✓
5	ガルフォード	0	6/34/32/17×1	7/34/32/17×1	2타 f46(P2 32)	2타 없음		
5	ガルフォード	-2	6/32/32/17×1	7/32/32/17×1	2타 f46(P2 32)	2타 없음		✓
5	ガルフォード	-4	6/30/32/17×1	7/30/32/17×1	2타 f42(P2 8)	2타 없음		✓
5	ガルフォード	-6	6/28/32/17×1	7/28/32/17×1	2타 f42(P2 8)	2타 없음		✓
5	ガルフォード	-8	6/26/32/17×1	7/26/32/17×1	2타 f38(P2 204 피격중)	2타 없음		✓
6	ナコルル	0	8/34/32/13×1	9/34/32/13×1	2타 f80(P2 20)	2타 f66(P2 48)		
6	ナコルル	-2	8/32/32/13×1	9/32/32/13×1	2타 없음	2타 f66(P2 48)		✓
6	ナコルル	-4	8/30/32/13×1	9/30/32/13×1	2타 없음	2타 없음		✓
6	ナコルル	-6	8/28/32/13×1	9/28/32/13×1	2타 f44(P2 8)	2타 없음		✓
6	ナコルル	-8	8/26/32/13×1	9/26/32/13×1	2타 f44(P2 8)	2타 없음		✓
8	リムルル	0	8/32/32/13×1	9/32/32/13×1	2타 없음	2타 f60(P2 44)		
8	リムルル	-2	8/30/32/13×1	9/30/32/13×1	2타 없음	2타 없음		✓
8	リムルル	-4	8/28/32/13×1	9/28/32/13×1	2타 f44(P2 8)	2타 없음		✓
8	リムルル	-6	8/26/32/13×1	9/26/32/13×1	2타 f44(P2 8)	2타 없음		✓
8	リムルル	-8	8/24/32/13×1	9/24/32/13×1	2타 f40(P2 220 피격중)	2타 없음		✓
9	半蔵	0	6/32/32/12×1	7/32/32/12×1	2타 f46(P2 8)	2타 없음		
9	半蔵	-2	6/30/32/12×1	7/30/32/12×1	2타 f42(P2 8)	2타 없음		✓
9	半蔵	-4	6/28/32/12×1	7/28/32/12×1	2타 f42(P2 8)	2타 없음		✓
9	半蔵	-6	6/26/32/12×1	7/26/32/12×1	2타 f38(P2 200 피격중)	2타 없음		✓
9	半蔵	-8	6/24/32/12×1	7/24/32/12×1	2타 f38(P2 200 피격중)	2타 없음		✓
10	十兵衛	0	6/34/32/13×1	7/34/32/13×1	2타 없음	2타 f60(P2 28)		
10	十兵衛	-2	6/32/32/13×1	7/32/32/13×1	2타 없음	2타 없음		✓
10	十兵衛	-4	6/30/32/13×1	7/30/32/13×1	2타 f42(P2 8)	2타 없음		✓
10	十兵衛	-6	6/28/32/13×1	7/28/32/13×1	2타 f42(P2 8)	2타 없음		✓
10	十兵衛	-8	6/26/32/13×1	7/26/32/13×1	2타 f38(P2 220 피격중)	2타 없음		✓
11	蒼月	0	6/34/32/10×1	7/34/32/10×1	2타 f74(P2 20)	2타 f64(P2 48)		
11	蒼月	-2	6/32/32/10×1	7/32/32/10×1	2타 f70(P2 20)	2타 없음		✓
11	蒼月	-4	6/30/32/10×1	7/30/32/10×1	2타 f42(P2 8)	2타 없음		✓
11	蒼月	-6	6/28/32/10×1	7/28/32/10×1	2타 f42(P2 8)	2타 없음		✓
11	蒼月	-8	6/26/32/10×1	7/26/32/10×1	2타 f38(P2 208 피격중)	2타 없음		✓
12	シャルロット	0	6/34/32/14×1	7/34/32/14×1	2타 f46(P2 32)	2타 f60(P2 8)		
12	シャルロット	-2	6/32/32/14×1	7/32/32/14×1	2타 f46(P2 32)	2타 없음		✓
12	シャルロット	-4	6/30/32/14×1	7/30/32/14×1	2타 f42(P2 8)	2타 없음		✓
12	シャルロット	-6	6/28/32/14×1	7/28/32/14×1	2타 f42(P2 8)	2타 없음		✓
12	シャルロット	-8	6/26/32/14×1	7/26/32/14×1	2타 f38(P2 252 피격중)	2타 없음		✓
13	火月	0	6/34/32/10×1	7/34/32/10×1	2타 f46(P2 8)	2타 없음		
13	火月	-2	6/32/32/10×1	7/32/32/10×1	2타 f46(P2 8)	2타 f90(P2 104)		✓
13	火月	-4	6/30/32/10×1	7/30/32/10×1	2타 f42(P2 8)	2타 f90(P2 104)		✓
