# 나찰 유파 표본 — rasetsu_cNN.st · 플래그 더미 · 2026-09-05
자리	이름	구분	기술	acts	발동	후경직	피해	타수
6	ナコルル	나찰	서서 A	[8, 136, 8]	None	None	0	0
6	ナコルル	나찰	→+A	[28, 8, 92, 8, 256, 260]	16	40	12	1
6	ナコルル	나찰	A홀드	[8, 104, 8]	16	62	24	1
6	ナコルル	나찰	앞강베기	[28, 140, 144, 8]	22	76	24	1
6	ナコルル	나찰	던지기	[32, 212, 220, 8]	36	26	14	1
6	ナコルル	나찰	체인 A·B·B	[88, 116, 528, 524, 8]	4	116	29	4
6	ナコルル	나찰 필살기	↓↘→+A	[488]	16		12	1
6	ナコルル	나찰 필살기	→↓↘+A	[500, 496, 500]	None		0	0
6	ナコルル	나찰 필살기	→↓↘+B	[504, 508, 512, 56]	90		24	1
6	ナコルル	나찰 필살기	↓↙←+B	[500, 496]	72		24	1
6	ナコルル	나찰 필살기	←↓↙+B	[416, 284, 416, 284, 416, 284, 272, 328, 340, 292, 296, 340]	14		5	1
