# 나찰 유파 표본 — rasetsu_cNN.st · 플래그 더미 · 2026-09-05
자리	이름	구분	기술	acts	발동	후경직	피해	타수
4	覇王丸	나찰	서서 A	[8, 132, 8]	8	34	13	1
4	覇王丸	나찰	→+A	[28, 8, 88, 8, 248, 304]	14	38	10	1
4	覇王丸	나찰	A홀드	[8, 84, 136, 8]	14	126	25	2
4	覇王丸	나찰	앞강베기	[28, 104, 108, 8]	24	76	30	1
4	覇王丸	나찰	던지기	[32, 188, 196, 8]	36	26	15	1
4	覇王丸	나찰	체인 A·B·B	[84, 92, 112, 132, 8]	6	114	30	4
4	覇王丸	나찰 필살기	↓↘→+A	[444, 448]	22		12	2
4	覇王丸	나찰 필살기	→↓↘+A	[436, 440, 56]	12		25	2
4	覇王丸	나찰 필살기	→↓↘+B	[480]	16		10	1
4	覇王丸	나찰 필살기	↓↙←+B	[232, 236, 284, 392, 260, 392, 260, 392, 260, 280, 264]	12		5	1
4	覇王丸	나찰 필살기	←↓↙+A	[456, 460]	28		17	1
2	아수라	나찰	서서 A	[8, 80, 8]	8	34	13	1
2	아수라	나찰	→+A	[28, 8, 84, 8]	14	40	8	1
2	아수라	나찰	A홀드	[8, 96, 8]	14	66	25	1
2	아수라	나찰	앞강베기	[28, 100, 104, 8]	26	72	25	1
2	아수라	나찰	던지기	[32, 172, 180, 8]	36	26	15	1
2	아수라	나찰	체인 A·B·B	[96, 88, 108, 104, 8]	6	114	30	4
2	아수라	나찰 필살기	↓↘→+A	[464]	22		13	1
2	아수라	나찰 필살기	↓↘→+B	[480, 484]	56		21	1
2	아수라	나찰 필살기	→↓↘+A	[472]	14		24	2
2	아수라	나찰 필살기	↓↙←+B	[232, 288, 300, 252, 256, 300, 196]	12		5	1
2	아수라	나찰 필살기	↓↙←+B	[216, 220, 268, 376, 244, 376, 244, 376, 244, 264, 248]	12		5	1
2	아수라	나찰 필살기	→↓←+A	[476]	30		26	3
