# 나찰 기본기 十四士 · 플래그 더미 · 2026-09-05
자리	이름	기술	거리	acts	발동	후경직	상대경직	피해	타수	위상
0	幻十郎	서서 A	32	[8, 84, 8]	8	30	32	14	1	위상2 일치
0	幻十郎	→+A	40	[28, 8, 88, 8]	16	38	32	10	1	위상2 일치
0	幻十郎	A홀드	40	[8, 100, 8]	18	64	68	26	1	위상2 일치
0	幻十郎	앞강베기	48	[28, 104, 108, 8]	26	74	None	31	1	위상2 일치
0	幻十郎	던지기	16	[32, 160, 168, 8]	36	26	86	16	1	위상2 일치
0	幻十郎	체인 A·A·A	24	[88, 84, 120, 492, 8]	8	100	150	13	4	위상2 일치
0	幻十郎	체인 A·B·B	24	[88, 84, 432, 108, 8]	8	112	194	31	4	위상2 일치
0	幻十郎	체인 B·B·B	24	[88, 192, 100, 8]	8	96	None	9	4	위상2 일치
1	色	서서 A	32	[8, 84, 8]	6	34	32	14	1	위상2 일치
1	色	→+A	40	[28, 8, 88, 8, 240, 316]	12	38	32	11	1	위상2 일치
1	色	A홀드	32	[8, 100, 8]	16	98	102	31	2	위상2 일치
1	色	앞강베기	48	[28, 132, 136, 8, 16, 8]	28	70	208	27	1	위상2 일치
1	色	던지기	16	[32, 200, 208, 8]	36	26	None	16	1	위상2 일치
1	色	체인 A·A·A	24	[84, 92, 100, 136, 8]	4	112	150	13	4	위상2 일치
1	色	체인 A·B·B	24	[84, 92, 88, 108, 8]	4	116	144	32	4	위상2 일치
1	色	체인 B·B·B	24	[84, 116, 140, 112, 8]	4	100	266	9	4	위상2 일치
2	아수라	서서 A	40	[8, 80, 8]	8	34	32	13	1	위상2 일치
2	아수라	→+A	40	[28, 8, 84, 8]	14	40	32	8	1	위상2 일치
2	아수라	A홀드	40	[8, 96, 8]	14	66	68	25	1	위상2 일치
2	아수라	앞강베기	48	[28, 100, 104, 8]	26	72	124	25	1	위상2 일치
2	아수라	던지기	16	[32, 172, 180, 8]	36	26	122	15	1	위상2 일치
2	아수라	체인 A·A·A	24	[96, 88, 84, 96, 8]	6	104	146	13	4	위상2 일치
2	아수라	체인 A·B·B	24	[96, 88, 108, 104, 8]	6	114	148	30	4	위상2 일치
2	아수라	체인 B·B·B	24	[96, 116, 108, 112, 8]	6	98	210	9	4	위상2 일치
3	八角泰山	서서 A	40	[8, 80, 8]	6	34	32	14	1	위상2 일치
3	八角泰山	→+A	40	[28, 8, 84, 8, 216, 256]	14	40	32	10	1	위상2 일치
3	八角泰山	A홀드	40	[8, 96, 8]	18	64	68	26	1	위상2 일치
3	八角泰山	앞강베기	48	[28, 100, 104, 8]	22	68	150	26	1	위상2 일치
3	八角泰山	던지기	16	[28, 164, 172, 8]	38	26	86	16	1	위상2 일치
3	八角泰山	체인 A·A·A	24	[80, 108, 84, 196, 8]	4	140	204	13	4	위상2 일치
3	八角泰山	체인 A·B·B	24	[80, 108, 124, 200, 8]	4	116	150	31	4	위상2 일치
3	八角泰山	체인 B·B·B	24	[80, 204, 96, 8]	4	100	290	9	4	위상2 일치
4	覇王丸	서서 A	40	[8, 132, 8]	8	34	32	13	1	위상2 일치
4	覇王丸	→+A	40	[28, 8, 88, 8, 248, 304]	14	38	32	10	1	위상2 일치
4	覇王丸	A홀드	40	[8, 84, 136, 8]	14	126	120	25	2	위상2 일치
4	覇王丸	앞강베기	48	[28, 104, 108, 8]	24	76	108	30	1	위상2 일치
4	覇王丸	던지기	16	[32, 188, 196, 8]	36	26	None	15	1	위상2 일치
4	覇王丸	체인 A·A·A	24	[84, 92, 88, 136, 8]	6	116	150	13	4	위상2 일치
4	覇王丸	체인 A·B·B	24	[84, 92, 112, 132, 8]	6	114	146	30	4	위상2 일치
4	覇王丸	체인 B·B·B	24	[84, 220, 100, 112, 8]	6	98	286	9	4	위상2 일치
5	ガルフォード	서서 A	32	[8, 136, 8]	8	36	32	17	1	위상2 일치
5	ガルフォード	→+A	40	[28, 8, 92, 8, 272, 328]	16	40	32	13	1	위상2 일치
5	ガルフォード	A홀드	40	[8, 104, 8]	16	62	68	25	1	위상2 일치
5	ガルフォード	앞강베기	48	[28, 140, 144, 8]	22	76	158	25	1	위상2 일치
