# 나찰 필살기 가드 2차 · CPU 반응 · 2026-09-05
자리	이름	입력	닿는거리	집계	유불리	근거
0	幻十郎	↓↘→+A	[24, 40, 56]	{'맞음@56': 6, '헛침': 8}	{}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리40 W4) · 맞음@56(거리40 W8) · 맞음@56(거리40 W12)
0	幻十郎	↓↙←+B	[24, 40, 56]	{'헛침': 13, '안나감': 1}	{}	
0	幻十郎	↓↙←+B	[24, 40, 56]	{'헛침': 14}	{}	
0	幻十郎	←↓↙+A	[24, 40, 56]	{'맞음@60': 13, '막힘@60': 1}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W8) · 맞음@60(거리24 W12) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24) · 맞음@60(거리24 W28)
1	色	↓↘→+A	[24, 40, 56]	{'맞음@무가드': 2, '헛침': 12}	{}	
1	色	←↓↙+A	[24, 40, 56, 80]	{'맞음@무가드': 6, '안나감': 8}	{}	
1	色	←↓→+B	[24]	{'맞음@무가드': 2, '막힘@56': 1, '헛침': 4}	{56: [-8]}	막힘@56(거리24 W8)=-8
1	色	↓←→+B	[24]	{'막힘@60': 2, '맞음@무가드': 1, '안나감': 4}	{60: [-6, -2]}	막힘@60(거리24 W4)=-2 · 막힘@60(거리24 W8)=-6
1	色	←↙↓↘→+B	[24, 40]	{'헛침': 6, '안나감': 8}	{}	
2	아수라	↓↘→+A	[24, 40, 56, 80]	{'맞음@56': 6, '맞음@무가드': 8}	{}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리40 W4) · 맞음@56(거리40 W8) · 맞음@56(거리40 W12)
2	아수라	↓↘→+B	[24, 40, 56, 80]	{'맞음@무가드': 14}	{}	
2	아수라	→↓↘+A	[24, 40, 56]	{'맞음@56': 4, '맞음@무가드': 9, '헛침': 1}	{}	맞음@56(거리24 W4) · 맞음@56(거리24 W12) · 맞음@56(거리40 W4) · 맞음@56(거리40 W12)
2	아수라	↓↙←+B	[24, 40, 56]	{'맞음@무가드': 2, '헛침': 8, '안나감': 4}	{}	
2	아수라	↓↙←+B	[24, 40, 56]	{'맞음@무가드': 2, '헛침': 12}	{}	
2	아수라	→↓←+A	[24, 40, 56, 80]	{'맞음@60': 6, '맞음@무가드': 8}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W8) · 맞음@60(거리24 W12) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
3	八角泰山	↓↘→+A	[24, 40]	{'맞음@60': 6, '맞음@무가드': 1, '헛침': 7}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W8) · 맞음@60(거리24 W12) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
3	八角泰山	↓↘→+B	[24]	{'헛침': 7}	{}	
3	八角泰山	↓↙←+B	[24, 40]	{'맞음@무가드': 2, '헛침': 1, '안나감': 11}	{}	
3	八角泰山	→↓←+A	[40, 56]	{'맞음@무가드': 5, '헛침': 9}	{}	
4	覇王丸	↓↘→+A	[24, 40, 56]	{'맞음@60': 2, '맞음@무가드': 6, '헛침': 6}	{}	맞음@60(거리24 W4) · 맞음@60(거리40 W4)
4	覇王丸	→↓↘+A	[24, 40, 56]	{'맞음@무가드': 6, '맞음@56': 2, '헛침': 6}	{}	맞음@56(거리24 W12) · 맞음@56(거리40 W12)
4	覇王丸	→↓↘+B	[24, 40, 56]	{'맞음@56': 6, '맞음@무가드': 4, '헛침': 2, '막힘@56': 2}	{56: [-2, 2]}	맞음@56(거리24 W4) · 맞음@56(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리40 W4) · 맞음@56(거리40 W8) · 맞음@56(거리40 W12)
4	覇王丸	↓↙←+B	[24, 40, 56]	{'맞음@무가드': 1, '헛침': 8, '안나감': 5}	{}	
4	覇王丸	←↓↙+A	[24, 40, 56]	{'맞음@무가드': 4, '헛침': 2, '막힘@56': 8}	{56: [-16, -16, -12, -12, -8, -8, -4, -4]}	막힘@56(거리24 W16)=-4 · 막힘@56(거리24 W20)=-8 · 막힘@56(거리24 W24)=-12 · 막힘@56(거리24 W28)=-16 · 막힘@56(거리40 W16)=-4 · 막힘@56(거리40 W20)=-8
5	ガルフォード	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 14}	{}	
5	ガルフォード	→↓↘+B	[24, 40]	{'헛침': 14}	{}	
5	ガルフォード	↓↙←+B	[24, 40, 56, 80]	{'막힘@56': 4, '맞음@무가드': 10}	{56: [18, 18, 22, 22]}	막힘@56(거리24 W4)=+18 · 막힘@56(거리24 W8)=+18 · 막힘@56(거리40 W4)=+22 · 막힘@56(거리40 W8)=+22
5	ガルフォード	←↓↙+B	[24]	{'헛침': 1, '안나감': 6}	{}	
6	ナコルル	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 11, '맞음@60': 1, '헛침': 2}	{}	맞음@60(거리24 W8)
6	ナコルル	→↓↘+B	[24, 40]	{'헛침': 12, '맞음@무가드': 1, '안나감': 1}	{}	
6	ナコルル	↓↙←+B	[24, 40, 56, 80]	{'막힘@56': 5, '맞음@무가드': 5, '헛침': 4}	{56: [18, 18, 18, 22, 22]}	막힘@56(거리24 W4)=+18 · 막힘@56(거리24 W8)=+18 · 막힘@56(거리24 W12)=+18 · 막힘@56(거리40 W4)=+22 · 막힘@56(거리40 W8)=+22
6	ナコルル	←↓↙+B	[24]	{'헛침': 1, '맞음@무가드': 1, '안나감': 5}	{}	
8	リムルル	→↓↘+B	[24, 40]	{'헛침': 10, '맞음@무가드': 3, '막힘@56': 1}	{56: [-18]}	막힘@56(거리40 W16)=-18
8	リムルル	↓↙←+A	[24, 40, 56]	{'맞음@무가드': 6, '맞음@60': 4, '헛침': 4}	{}	맞음@60(거리24 W8) · 맞음@60(거리24 W20) · 맞음@60(거리40 W8) · 맞음@60(거리40 W20)
8	リムルル	↓↙←+B	[24]	{'맞음@무가드': 1, '헛침': 5, '맞음@56': 1}	{}	맞음@56(거리24 W16)
