# 나찰 필살기 十四士 · 모션 브루트(지상 40/16 · 공중 64 k24) · 발동 = 커맨드 끝→첫 히트 · 2026-09-05
자리	이름	입력	거리	acts	발동	피해	타수
0	幻十郎	↓↘→+A	40	[484, 528, 484, 488, 484, 488, 164]	10	36	4
0	幻十郎	↓↙←+B	40	[220, 276, 232, 244, 288, 180]	6	5	1
0	幻十郎	↓↙←+B	16	[204, 208, 196, 200, 204, 208, 204, 208, 204, 208, 220, 224, 228, 236, 288, 240, 244, 288, 180]	6	5	1
0	幻十郎	←↓↙+A	40	[504, 508]	30	24	1
0	幻十郎	→↓←+A	40	[496]	None	0	0
1	色	↓↘→+A	40	[492]	20	19	1
1	色	↓↙←+A	40	[496, 0, 500]	None	0	0
1	色	←↓↙+A	40	[484]	8	23	1
1	色	←↓↙+B	40	[504, 508]	None	0	0
1	色	←↓→+B	16	[236, 356, 360, 256, 312, 276, 280]	2	5	1
1	色	↓←→+B	40	[452]	None	0	0
1	色	↓←→+B	16	[452, 512, 412]	44	16	1
1	色	←↙↓↘→+B	40	[528]	40	56	1
2	아수라	↓↘→+A	40	[464]	14	13	1
2	아수라	↓↘→+B	40	[480, 484]	48	21	1
2	아수라	→↓↘+A	40	[472]	6	24	2
2	아수라	↓↙←+B	40	[232, 288, 300, 252, 256, 300, 196]	4	5	1
2	아수라	↓↙←+B	16	[216, 220, 268, 376, 244, 376, 244, 376, 244, 264, 248, 300, 252, 256, 300]	4	5	1
2	아수라	→↓←+A	40	[476]	22	26	3
2	아수라	공중 ↓↘→+A	64	[468]	None	0	0
3	八角泰山	↓↘→+A	40	[420, 476]	14	31	2
3	八角泰山	↓↘→+B	40	[456]	None	0	0
3	八角泰山	↓↘→+B	16	[456, 460]	74	9	1
3	八角泰山	↓↙←+B	16	[208, 212, 220, 220, 220, 272, 244]	4	5	1
3	八角泰山	→↓←+A	40	[440]	14	18	1
4	覇王丸	↓↘→+A	40	[444, 448]	14	12	2
4	覇王丸	→↓↘+A	40	[436, 440]	4	25	2
4	覇王丸	→↓↘+B	40	[480]	8	10	1
4	覇王丸	↓↙←+B	16	[232, 236, 284, 392, 260, 392, 260, 392, 260, 280, 264]	4	5	1
4	覇王丸	←↓↙+A	40	[456, 460]	20	17	1
5	ガルフォード	↓↘→+A	40	[488]	8	13	1
5	ガルフォード	→↓↘+A	40	[500, 496, 500]	None	0	0
5	ガルフォード	→↓↘+B	40	[504, 508, 512]	82	25	1
5	ガルフォード	↓↙←+B	40	[500, 496]	64	25	1
5	ガルフォード	←↓↙+B	16	[256, 260, 308, 416, 284, 416, 284, 416, 284, 304, 288]	6	5	1
5	ガルフォード	→←↓→+A	40	[460, 0, 460]	None	0	0
6	ナコルル	↓↘→+A	40	[488]	8	12	1
6	ナコルル	→↓↘+A	40	[500, 496, 500]	None	0	0
6	ナコルル	→↓↘+B	40	[504, 508, 512]	82	24	1
6	ナコルル	↓↙←+B	40	[500, 496]	64	24	1
6	ナコルル	←↓↙+B	16	[416, 284, 416, 284, 416, 284, 272, 328, 340, 292, 296, 340]	6	5	1
6	ナコルル	→←↓→+A	40	[460, 0, 460]	None	0	0
8	リムルル	→↓↘+B	40	[444, 460, 468]	66	17	1
8	リムルル	↓↙←+A	40	[484]	18	13	1
8	リムルル	↓↙←+B	16	[212, 216, 264, 372, 240, 372, 240, 372, 240, 260, 244]	4	5	1
8	リムルル	←↓↙+A	40	[488]	18	10	1
8	リムルル	←↓↙+A	16	[488, 264, 372, 240, 232, 236, 244]	18	19	2
8	リムルル	→↓←+B	40	[480]	8	13	1
8	リムルル	공중 ↓↘→+B	64	[432]	None	0	0
9	半蔵	↓↘→+B	40	[464]	None	0	0
9	半蔵	→↓↘+A	40	[444, 448]	58	22	1
9	半蔵	→↓↘+B	40	[432, 436, 440]	80	25	1
9	半蔵	↓↙←+B	16	[184, 188, 236, 344, 212, 344, 212, 344, 212, 232, 216]	2	5	1
9	半蔵	←↓↙+A	40	[388, 0, 388]	None	0	0
9	半蔵	←↓↙+B	40	[388, 0]	None	0	0
9	半蔵	←↓→+B	40	[488, 496, 500]	30	13	2
9	半蔵	→↓←+B	40	[488, 520, 444, 452]	42	13	1
9	半蔵	→←↓→+A	40	[388]	None	0	0
9	半蔵	공중 ↓↘→+A	64	[420]	None	0	0
10	十兵衛	↓↘→+A	40	[416, 420]	12	16	1
10	十兵衛	↓↘→+B	40	[484]	None	0	0
10	十兵衛	↓↙←+A	40	[476]	None	0	0
10	十兵衛	↓↙←+B	40	[480]	None	0	0
10	十兵衛	←↓↙+B	16	[208, 212, 200, 204, 208, 212, 208, 212, 208, 212, 228, 232, 240, 244]	4	5	1
11	蒼月	↓↘→+A	40	[596, 576, 580]	8	11	2
11	蒼月	→↓↘+A	40	[564, 568]	4	23	2
11	蒼月	↓↙←+A	40	[540]	26	18	1
11	蒼月	↓↙←+B	16	[296, 300, 288, 292, 296, 300, 296, 300, 296, 300, 316, 320, 328, 332]	4	5	1
12	シャルロット	↓↘→+A	40	[456, 432]	16	11	3
12	シャルロット	→↓↘+A	40	[416, 420]	4	32	3
12	シャルロット	↓↙←+B	16	[196, 200, 208, 208, 208, 260, 232]	2	5	1
13	火月	↓↘→+A	40	[592]	8	5	1
13	火月	→↓↘+A	40	[584]	16	19	1
13	火月	↓↙←+B	16	[296, 428, 432, 316, 372, 336, 340]	2	5	1
13	火月	←↓↙+A	40	[576, 580]	18	19	1
