# SS2 필살기 표 — 十四士 (2026-09-05 이식소 · 순정 롬 · 플래그 더미 0x1CC7 · 모션 16 × 게임 A/B × 거리 40/16 + 공중 브루트)
# ★ 카드(review/ss2_commands.tsv) 화살표 판정: ① → 는 «상대 쪽» ② 대각은 생략 표기(→↓← 는 ↓↙← 로 나감) ③ 그러나 버튼·방향이 어긋나는 줄이 섞여 있다(覇王丸 참강섬 카드 A→게임 B, 노도단 카드 ←↓→→실제 →↓↘) — «카드대로 나간다»고 적지 말 것. 실측 입력이 정본, 카드 이름은 정합/미러일 때만 붙임(추정).
# 발동 = 커맨드 마지막 입력→첫 히트 · 전체 = 특수 act 시작→중립 · 장풍 = [(거리, 히트f)] 120 에도 닿으면 장풍/돌진 · 가드 = CPU 반응 W 사다리 7회 집계(시끄러움, 2차 예정) · 판정 없음(발동 None) = 자세·상태 기술(먹기·부르기·분신·매) 또는 시점 미조정(공중)
# 분노 MAX 기술 6개: 미측정(MAX 상태 재현 불가 — 게이지 0x1A47/0x1A4B 48 로 박아도 안 나옴)
자리	이름	입력	거리	acts	발동	전체	피해	타수	장풍	가드집계	유불리	카드이름(추정)	가드2차_닿는거리	가드2차_집계	가드2차_유불리	가드2차_근거
0	幻十郎	→↓↘+A	40	[420]	4	70	27	2	[(80, None), (120, None)]	{'맞음@무가드': 2, '헛침': 1, '안나감': 4}	[]	연익인(정합)	[24, 40, 56]	{'맞음@무가드': 11, '맞음@56': 2, '헛침': 4, '안나감': 4}	{}	맞음@56(거리24 W12) · 맞음@56(거리56 W4)
0	幻十郎	→↓↘+B	40	[448]	None	44	0	0	[(80, None), (120, None)]	{'헛침': 2, '맞음@무가드': 2, '안나감': 3}	[]	질질끌기(정합·상대 곁에서)	[24]	{'맞음@무가드': 3, '헛침': 4}	{}	
0	幻十郎	→↓↘+B	16	[448, 452, 464, 468]	82	132	30	1	[(80, None), (120, None)]	{'맞음@무가드': 3, '헛침': 4}	[]	질질끌기(정합·상대 곁에서)	[24]	{'맞음@무가드': 3, '헛침': 4}	{}	
0	幻十郎	↓↘→+A (곁)	16	[432]	8	6	5	1	[]			(카드 없음·④ 곁 재발견)				
0	幻十郎	↓↙←+A	40	[424]	18	56	13	1	[(80, 42), (120, 56)]	{'헛침': 3, '맞음@무가드': 1, '안나감': 3}	[]	백귀살(미러)	[24, 40, 56, 80]	{'맞음@무가드': 14, '헛침': 4, '안나감': 3}	{}	
1	色	←↓↙+B	40	[452]	None	42	0	0	[(80, None), (120, None)]	{'헛침': 4, '맞음@무가드': 2, '안나감': 1}	[]					
1	色	→↓↘+A	40	[440]	2	66	27	2	[(80, None), (120, None)]	{'맞음@무가드': 5, '안나감': 2}	[]		[24, 40]	{'맞음@무가드': 12, '안나감': 2}	{}	
1	色	→↓↘+B	40	[456, 460]	40	106	16	1	[(80, None), (120, None)]	{'맞음@무가드': 1, '헛침': 5, '안나감': 1}	[]	창공신(정합)	[24, 40]	{'맞음@무가드': 6, '헛침': 7, '안나감': 1}	{}	
1	色	↓→+A (곁)	16	[240, 316]	2	4	11	1	[]			(카드 없음·④ 곁 재발견)				
1	色	↓↘→+A	40	[564]	8	48	14	1	[(80, 26), (120, None)]	{'맞음@무가드': 2, '헛침': 3, '안나감': 2}	[]		[24, 40, 56, 80]	{'맞음@무가드': 9, '헛침': 8, '안나감': 4}	{}	
1	色	↓↘→+B	40	[24, 0]	None	52	0	0	[(80, None), (120, None)]	{'헛침': 5, '안나감': 2}	[]					
2	아수라	←↓↙+A	40	[436]	10	94	26	2	[(80, None), (120, None)]	{'맞음@60': 7}	[]		[24, 40, 56]	{'맞음@60': 17, '맞음@무가드': 2, '헛침': 2}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W8) · 맞음@60(거리24 W12) · 맞음@60(거리24 W16) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24)
2	아수라	←↓↙+B	40	[448]	None	74	0	0	[(80, None), (120, None)]	{'헛침': 7}	[]	루베즈리브(판독 불확실)(미러·상대 곁에서) / 노아라템(정합) / 레이카스(미러)				
2	아수라	→↓↘+A	40	[440]	10	70	21	1	[(80, None), (120, None)]	{'맞음@56': 2, '맞음@60': 1, '맞음@무가드': 1, '막힘@60': 1, '헛침': 2}	[2]		[24, 40]	{'맞음@56': 7, '맞음@60': 3, '맞음@무가드': 1, '막힘@60': 1, '헛침': 2}	{60: [2]}	맞음@56(거리24 W4) · 맞음@60(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W16) · 맞음@60(거리24 W20) · 맞음@56(거리24 W24)
2	아수라	↓↘→+A	40	[432]	10	50	13	1	[(80, 32), (120, 44)]	{'맞음@60': 6, '헛침': 1}	[]		[24, 40, 56, 80]	{'맞음@무가드': 7, '맞음@60': 12, '헛침': 2}	{}	맞음@60(거리24 W8) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
3	八角泰山	←↓↙+A	40	[432]	6	62	21	2	[(80, None), (120, None)]	{'헛침': 1, '맞음@무가드': 2, '안나감': 4}	[]		[24, 40, 56]	{'헛침': 3, '맞음@무가드': 6, '안나감': 12}	{}	
3	八角泰山	→↓←+A	40	[420]	16	58	17	2	[(80, 44), (120, None)]	{'맞음@무가드': 2, '안나감': 5}	[]		[24, 40, 56, 80]	{'맞음@무가드': 4, '안나감': 15, '헛침': 2}	{}	
3	八角泰山	→↓↘+A	40	[424, 428, 476]	26	124	32	2	[(80, 34), (120, None)]	{'헛침': 2, '맞음@무가드': 5}	[]		[24, 40, 56, 80]	{'맞음@무가드': 16, '헛침': 5}	{}	
