# 필살기 가드 2차 — CPU 반응 가드(56 서서·60 앉아) · 닿는 거리마다 W 4~28 · 유불리 = CPU 가 가드 떠나는 f − 내 공격/반동 act 끝 f(상한) · 근거 = 가드가 선 (거리, W) · 2026-09-05
자리	이름	입력	닿는거리	집계	유불리	근거
4	覇王丸	↓↘→+A	[24, 40, 56]	{'맞음@60': 11, '맞음@무가드': 6, '헛침': 4}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W16) · 맞음@60(거리24 W28) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
4	覇王丸	→↓↘+A	[24, 40, 56]	{'맞음@무가드': 9, '맞음@56': 4, '막힘@56': 7, '헛침': 1}	{56: [-82, -30, 12, 18, 18, 18, 18]}	맞음@56(거리24 W12) · 맞음@56(거리24 W24) · 맞음@56(거리40 W12) · 맞음@56(거리40 W24) · 막힘@56(거리40 W28)=-82 · 막힘@56(거리56 W8)=+18
4	覇王丸	↓↙←+B	[24, 40]	{'막힘@56': 4, '맞음@56': 8, '맞음@무가드': 2}	{56: [2, 2, 2, 2]}	막힘@56(거리24 W4)=+2 · 막힘@56(거리24 W8)=+2 · 맞음@56(거리24 W12) · 맞음@56(거리24 W16) · 맞음@56(거리24 W20) · 맞음@56(거리24 W24)
4	覇王丸	←↓↙+A	[24, 40, 56]	{'헛침': 13, '맞음@무가드': 8}	{}	
2	아수라	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 7, '맞음@60': 12, '헛침': 2}	{}	맞음@60(거리24 W8) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24) · 맞음@60(거리40 W4) · 맞음@60(거리40 W8) · 맞음@60(거리40 W12)
2	아수라	→↓↘+A	[24, 40]	{'맞음@56': 7, '맞음@60': 3, '맞음@무가드': 1, '막힘@60': 1, '헛침': 2}	{60: [2]}	맞음@56(거리24 W4) · 맞음@60(거리24 W8) · 맞음@56(거리24 W12) · 맞음@56(거리24 W16) · 맞음@60(거리24 W20) · 맞음@56(거리24 W24)
2	아수라	←↓↙+A	[24, 40, 56]	{'맞음@60': 17, '맞음@무가드': 2, '헛침': 2}	{}	맞음@60(거리24 W4) · 맞음@60(거리24 W8) · 맞음@60(거리24 W12) · 맞음@60(거리24 W16) · 맞음@60(거리24 W20) · 맞음@60(거리24 W24)
0	幻十郎	→↓↘+A	[24, 40, 56]	{'맞음@무가드': 11, '맞음@56': 2, '헛침': 4, '안나감': 4}	{}	맞음@56(거리24 W12) · 맞음@56(거리56 W4)
0	幻十郎	→↓↘+B	[24]	{'맞음@무가드': 3, '헛침': 4}	{}	
0	幻十郎	↓↙←+A	[24, 40, 56, 80]	{'맞음@무가드': 14, '헛침': 4, '안나감': 3}	{}	
1	色	↓↘→+A	[24, 40, 56, 80]	{'맞음@무가드': 9, '헛침': 8, '안나감': 4}	{}	
1	色	→↓↘+A	[24, 40]	{'맞음@무가드': 12, '안나감': 2}	{}	
1	色	→↓↘+B	[24, 40]	{'맞음@무가드': 6, '헛침': 7, '안나감': 1}	{}	
3	八角泰山	↓↘→+A	[24, 40]	{'헛침': 10, '맞음@무가드': 4}	{}	
3	八角泰山	→↓↘+A	[24, 40, 56, 80]	{'맞음@무가드': 16, '헛침': 5}	{}	
