# ←+A 홀드 밀착(거리16) 十四士 — 던지기 후보 · 플래그 더미 · 2026-09-05
자리	이름	내acts	P2acts	히트	총피해	내복귀f	P2X
0	幻十郎	[32, 160, 168, 8]	[8, 212, 256, 300, 352, 300, 184]	[(36, 15)]	15	62	(200, 36)
1	色	[32, 200, 208, 8]	[8, 252, 296, 340, 392, 340, 48]	[(36, 16)]	16	62	(200, 81)
2	아수라	[32, 172, 180, 8]	[8, 204, 248, 292, 344, 292, 184]	[(36, 15)]	15	62	(200, 77)
3	八角泰山	[28, 164, 172, 8]	[8, 252, 296, 340, 392, 340, 236]	[(38, 16)]	16	64	(200, 70)
4	覇王丸	[32, 188, 196, 8]	[8, 204, 248, 292, 344, 292, 184]	[(36, 15)]	15	62	(200, 36)
5	ガルフォード	[32, 212, 220, 8]	[8, 204, 248, 292, 344, 292, 184]	[(36, 15)]	15	62	(200, 35)
6	ナコルル	[32, 176, 184, 8]	[8, 204, 248, 292, 344, 292, 188]	[(36, 15)]	15	62	(200, 74)
8	リムルル	[32, 172, 180, 8]	[8, 212, 256, 300, 352, 300, 184]	[(36, 15)]	15	62	(200, 35)
9	半蔵	[32, 144, 152, 8]	[8, 200, 244, 288, 336, 288, 184]	[(36, 14)]	14	62	(200, 36)
10	十兵衛	[32, 164, 172, 8]	[8, 212, 256, 300, 352, 300, 184]	[(36, 15)]	15	62	(200, 36)
11	蒼月	[40, 252, 260, 8]	[8, 208, 252, 296, 348, 296, 188]	[(36, 16)]	16	62	(200, 35)
12	シャルロット	[32, 164, 172, 8]	[8, 252, 296, 340, 392, 340, 240]	[(36, 16)]	16	62	(200, 75)
13	火月	[40, 248, 256, 8]	[8, 200, 244, 288, 340, 288, 180]	[(36, 16)]	16	62	(200, 35)
14	右京	[32, 168, 176, 8]	[8, 204, 248, 292, 344, 292, 184]	[(36, 15)]	15	62	(200, 36)
