# 던지기 전수조사 — 覇王丸 · 플래그 더미 · 2026-09-05 · 게임 버튼 (A=베기·B=회피)
거리	방향	버튼	탭홀드	누른순간거리	내acts	P2acts	히트	총피해
16	N	A	탭	16	[8, 84, 8]	[8, 208, 212, 8, 32, 8]	[(8, 13)]	13
16	N	A	홀드	16	[8, 100, 8, 248, 304, 316]	[8, 208, 212, 8, 100, 104]	[(16, 25)]	25
16	N	B	탭	16	[184, 8]	[8]	[]	0
16	N	B	홀드	16	[184, 8]	[8]	[]	0
16	N	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	N	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	U	A	탭	16	[52, 96, 56, 20, 8]	[8]	[]	0
16	U	A	홀드	16	[52, 116, 56, 20, 8]	[8]	[]	0
16	U	B	탭	16	[184, 8]	[8]	[]	0
16	U	B	홀드	16	[184, 8]	[8]	[]	0
16	U	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	U	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	D	A	탭	16	[20, 92, 8]	[8, 208, 212, 8, 32, 8]	[(8, 13)]	13
16	D	A	홀드	16	[20, 112, 8]	[8, 224, 280, 292, 244, 248]	[(16, 21)]	21
16	D	B	탭	16	[64, 80, 8]	[8]	[]	0
16	D	B	홀드	16	[64, 80, 8]	[8]	[]	0
16	D	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	D	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	←	A	탭	16	[32, 84, 8]	[8, 208, 212, 8, 32, 8]	[(8, 13)]	13
16	←	A	홀드	16	[32, 188, 196, 8]	[8, 204, 248, 292, 344, 292]	[(36, 15)]	15
16	←	B	탭	15	[84, 232, 236, 8, 284, 392]	[8, 200, 204, 208, 44, 8]	[(6, 5)]	5
16	←	B	홀드	15	[84, 232, 236, 8, 284, 392]	[8, 200, 204, 208, 44, 8]	[(6, 5)]	5
16	←	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	←	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	→	A	탭	16	[28, 88, 8]	[8, 200, 204, 8, 32, 8]	[(8, 10)]	10
16	→	A	홀드	16	[28, 188, 192, 8]	[8, 204, 260, 204, 44, 8]	[]	0
16	→	B	탭	16	[60, 76, 8]	[8]	[]	0
16	→	B	홀드	16	[60, 76, 8]	[8]	[]	0
16	→	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	→	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↖	A	탭	16	[52, 96, 56, 20, 8]	[8]	[]	0
16	↖	A	홀드	16	[52, 116, 56, 20, 8]	[8]	[]	0
16	↖	B	탭	16	[184, 8]	[8]	[]	0
16	↖	B	홀드	16	[184, 8]	[8]	[]	0
16	↖	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↖	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↗	A	탭	16	[52, 96, 56, 20, 16, 8]	[8, 16, 8]	[]	0
16	↗	A	홀드	16	[52, 116, 56, 20, 16, 8]	[8, 16, 8]	[]	0
16	↗	B	탭	16	[184, 8]	[8]	[]	0
16	↗	B	홀드	16	[184, 8]	[8]	[]	0
16	↗	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↗	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↙	A	탭	16	[20, 92, 8]	[8, 208, 212, 8, 32, 8]	[(8, 13)]	13
16	↙	A	홀드	16	[20, 112, 8]	[8, 224, 280, 292, 244, 248]	[(16, 21)]	21
16	↙	B	탭	16	[64, 80, 8]	[8]	[]	0
16	↙	B	홀드	16	[64, 80, 8]	[8]	[]	0
16	↙	A+B	탭	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↙	A+B	홀드	16	[200, 12]	[8, 212, 264, 236, 248, 292]	[]	0
16	↘	A	탭	16	[20, 92, 8]	[8, 208, 212, 8, 32, 8]	[(8, 13)]	13
16	↘	A	홀드	16	[20, 112, 8]	[8, 224, 280, 292, 244, 248]	[(16, 21)]	21
16	↘	B	탭	16	[64, 80, 8]	[8]	[]	0
16	↘	B	홀드	16	[64, 80, 8]	[8]	[]	0
