# ★ 폐기 (2026-09-05): →+B(앞베기)는 원래 있는 커맨드 기본기다 — «걷다 베기 회복»은 자세 변종이 아니라 다른 기술의 사양. 파일은 기록용으로만 둔다.
# SS2 걷다 베기 회복 선택 패치 v0.1 — 바이트 기록 (2026-09-05 이식소 · 배포 없음 · 순정 롬 기준)
# 걷다 B탭 act 의 «히트 뒤» 레코드 틱(2f/틱)을 깎아 후경직을 그 캐릭의 서서 B탭 후경직으로. 히트 레코드·서서·홀드 무변.
# IPS md5 1d2839ab04243bf3d89ab4899f196625 · 98바이트 · 레코드 15
자리	이름	오프셋	원본	새	자리설명	걷다후경직 원본→새	서서후경직
0	幻十郎	0x0DD4C2	09	05	act88 [3]	38→30	30
1	色	0x0E9472	09	07	act88 [2]	38→34	34
2	아수라	0x0E35DA	09	06	act84 [2]	40→34	34
3	八角泰山	0x0E5BEE	09	06	act84 [4]	40→34	34
4	覇王丸	0x0DC3CE	09	07	act88 [2]	38→34	34
5	ガルフォード	0x0E212E	09	06	act92 [3]	40→34	34
6	ナコルル	0x0DEB40	09	05	act92 [1]	42→34	34
8	リムルル	0x0DFCE0	09	05	act92 [1]	40→32	32
9	半蔵	0x0E0FA4	05	03	act92 [3]	36→32	32
10	十兵衛	0x0E8230	09	08	act84 [2]	36→34	34
11	蒼月	0x0DAF6C	09	07	act120 [2] (표B 0DAA76)	38→34	34
12	シャルロット	0x0E48D8	07	06	act84 [2]	36→34	34
13	火月	0x0D999C	09	07	act120 [2] (표A 0D93DE)	38→34	34
14	右京	0x0E7106	03	01	act84 [2]	46→32	32
14	右京	0x0E72F4	07	02	act128 [0]	46→32	32
