# SS2 걷다 베기 회복 선택 패치 v0.1 — 전후 표 (2026-09-05 이식소 · 순간이동 더미 · 위상 2 · 배포 없음)
# 칸 = 걷다 B탭 발동/후경직/상대경직/피해. 목표 = 그 캐릭의 서서 B탭 후경직. 피해·타수·발동 무변, 서서 B탭·B홀드 무변(측정된 칸 전부).
# 새 연결 없음: 걷다 B탭 뒤 최속 B탭·B홀드(아수라는 파동권도)의 2타가 원본과 같은 P2 상태에 떨어짐. 아수라 캔슬 파동권은 원본부터 이어지는 설계(2타 f34).
자리	이름	원본	패치	목표(서서)	상태
0	幻十郎	10/38/32/10	10/30/32/10	30	측정
1	色	6/38/32/11	6/34/32/11	34	측정
2	아수라	8/40/32/8	8/34/32/8	34	측정
3	八角泰山	8/40/32/11	8/34/32/11	34	측정
4	覇王丸	8/38/32/10	8/34/32/10	34	측정
5	ガルフォード	10/40/32/13	10/34/32/13	34	측정
6	ナコルル	16/42/32/10	16/34/32/10	34	반측정(위상1 CPU 가 막음 — 원본도 같음)
8	リムルル	16/40/32/10	16/32/32/10	32	반측정(위상1 CPU 가 막음 — 원본도 같음)
9	半蔵	8/36/32/12	8/32/32/12	32	측정
10	十兵衛	8/36/32/13	8/34/32/13	34	측정
11	蒼月	6/38/32/10	6/34/32/10	34	측정
12	シャルロット	8/36/32/11	8/34/32/11	34	측정
13	火月	6/38/32/10	6/34/32/10	34	측정
14	右京	6/46/32/13	6/32/32/13	32	측정
