표  크기      | 순정: 투명   색인1(획)  색인2   색인3 | 잉크계 | 한글: 색인1  잉크계 | 획 비
------------------------------------------------------------------------------------------------------------
 0  32x40  |    839      124      51     202 |    377 |   135    320 | 109%
 1  32x64  |   1210      283      94     397 |    774 |   244    594 |  86%
 2  40x64  |   1371      711      57     357 |   1125 |   525    970 |  74%
 3  40x24  |    723      105       7      61 |    173 |    89    161 |  85%
 4  40x24  |    583      197       8     108 |    313 |   104    219 |  53%
 5  40x24  |    516      213      12     155 |    380 |   102    219 |  48%
 6  40x24  |    398      307      11     180 |    498 |    97    194 |  32%
 7  40x24  |    418      291      25     162 |    478 |   110    228 |  38%
 8  40x24  |    483      254      13     146 |    413 |   114    225 |  45%
 9  40x24  |    551      215      10     120 |    345 |    80    165 |  37%
10  40x24  |    610      176      13      97 |    286 |   131    257 |  74%
11  40x24  |    488      254      16     138 |    408 |   113    222 |  44%
12  40x24  |    613      191       2      90 |    283 |    48    167 |  25%
13  48x8   |    220       88      15      61 |    164 |     0      0 |   0%
14  48x8   |    131      170      16      67 |    253 |     0      0 |   0%
15  40x80  |   1380      926      47     783 |   1756 |   472   1008 |  51%
16  80x96  |   5474     1119     217     806 |   2142 |   521   1107 |  47%
17  40x72  |   1866      542      92     316 |    950 |   394    836 |  73%
18  40x72  |   1645      658      37     476 |   1171 |   448    864 |  68%
19  40x88  |   2164      691      63     538 |   1292 |   539   1059 |  78%
20  40x72  |   1681      595      55     485 |   1135 |   258    600 |  43%
21  40x88  |   1820      898      63     675 |   1636 |   409    949 |  46%
22  40x80  |   1763      757      49     567 |   1373 |   405    826 |  54%
23  40x72  |   1643      709      37     427 |   1173 |   532    993 |  75%
24  48x96  |   3009      621     143     771 |   1535 |   282    682 |  45%
25  40x96  |   2242      783     199     552 |   1534 |   499    987 |  64%
26  32x24  |    529       68      26      81 |    175 |    68    175 | 100%
27  32x24  |    606       42       9      47 |     98 |    42     98 | 100%
28  32x24  |    530       70      22      82 |    174 |    70    174 | 100%
29  32x24  |    524       76      21      83 |    180 |    76    180 | 100%
30  32x24  |    536       74      19      75 |    168 |    74    168 | 100%
31  32x24  |    531       79       8      86 |    173 |    79    173 | 100%
32  32x24  |    506       69      39      90 |    198 |    69    198 | 100%
33  32x24  |    565       53      22      64 |    139 |    53    139 | 100%
34  32x24  |    510       85      24      85 |    194 |    85    194 | 100%
35  32x24  |    544       67      25      68 |    160 |    67    160 | 100%
36  56x80  |   3243      395     174     604 |   1173 |   300    704 |  76%
37  56x48  |   1360      836      82     346 |   1264 |   728   1134 |  87%
38  48x8   |    121      183      24      56 |    263 |    26     46 |  14%
39  48x8   |    116      187      16      65 |    268 |    95    160 |  51%
40  48x8   |    154      141      20      69 |    230 |   102    206 |  72%
41  48x8   |    226       88      22      48 |    158 |    81    131 |  92%
42  48x8   |    204      115      15      50 |    180 |    71    120 |  62%
43  48x8   |    158      156      19      51 |    226 |    57    113 |  37%
44  48x8   |    125      177      16      66 |    259 |   141    184 |  80%
45  48x8   |    125      173      15      71 |    259 |   113    213 |  65%
46  48x8   |    135      185      20      44 |    249 |    37     62 |  20%
47  48x8   |    290       59       5      30 |     94 |     4     15 |   7%
